bid_no,bop_occurymdhms,brt_id,bop_x,bop_y,bop_angle,bop_speed,bop_distance,bop_dvstat,bop_violationinfo,bop_statinfo,bop_remaindistance,bnode_fromid,bnode_toid,bop_half_x,bop_half_y,bop_fle,bop_sendymdhms,bop_rcvymdhms
101,20151120090401,196104132,222321.8,225937.09,182,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222321.8,225937.09,1,20151120090401,20151120090356
101,20151120090531,196104132,222321.8,225937.09,182,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222321.8,225937.09,1,20151120090531,20151120090526
101,20151120090701,196104132,222321.8,225937.09,182,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222321.8,225937.09,1,20151120090701,20151120090656
101,20151120090830,196104132,222321.8,225937.09,182,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222321.8,225937.09,1,20151120090830,20151120090826
101,20151120091001,196104132,222321.8,225937.09,182,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222321.8,225937.09,1,20151120091001,20151120090955
101,20151120091130,196104132,222321.8,225937.09,182,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222321.8,225937.09,1,20151120091130,20151120091125
101,20151120091301,196104132,222321.8,225937.09,182,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222321.8,225937.09,1,20151120091301,20151120091256
101,20151120091430,196104132,222321.8,225937.09,182,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222321.8,225937.09,1,20151120091430,20151120091426
101,20151120091601,196104132,222321.8,225937.09,182,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222321.8,225937.09,1,20151120091601,20151120091555
101,20151120091730,196104132,222321.8,225937.09,182,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222321.8,225937.09,1,20151120091730,20151120091726
101,20151120091901,196104132,222321.8,225937.09,182,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222321.8,225937.09,1,20151120091901,20151120091856
101,20151120092030,196104132,222321.8,225937.09,182,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222321.8,225937.09,1,20151120092030,20151120092025
101,20151120092201,196104132,222321.8,225937.09,182,0,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,222321.8,225937.09,1,20151120092201,20151120092156
101,20151120092331,196104131,222403.79,225864.06,125,0,17270,0000000000000000,00000000,00000000,2348,196030504,196030504,222403.79,225864.06,0,20151120092331,20151120092326
101,20151120093018,196104131,223569.99,227388.39,333,0,3236,0000000000000000,00000000,00000000,16382,193030712,1930002600,223569.99,227388.39,0,20151120093018,20151120093014
101,20151120093541,196104131,224178.17,226920.89,172,0,5435,0000000000000000,00000000,00000000,14183,193022403,1930038300,224178.17,226920.89,0,20151120093541,20151120093536
101,20151120093724,196104131,225109.18,226814.7,102,67,5435,0000000000000000,00000000,00000000,14183,1930038300,193040601,225109.18,226814.7,0,20151120093724,20151120093719
101,20151120094118,196104131,226611.6,226447.31,103,0,7850,0000000000000000,00000000,00000000,11768,193040609,1930028500,226611.6,226447.31,0,20151120094118,20151120094113
101,20151120094323,196104131,226943.21,226372.96,105,0,8153,0000000000000000,00000000,00000000,11465,193040607,1930026700,226943.21,226372.96,0,20151120094323,20151120094318
101,20151120094634,196104131,227760.46,226217,113,0,9035,0000000000000000,00000000,00000000,10583,1930002312,1930002304,227760.46,226217,0,20151120094634,20151120094629
101,20151120094948,196104131,228489.09,226392.68,82,0,9860,0000000000000000,00000000,00000000,9758,1930024600,1930027300,228489.09,226392.68,0,20151120094948,20151120094943
101,20151120095415,196104131,228235.23,227208.49,220,0,10700,0000000000000000,00000000,00000000,8918,193031110,1930049600,228235.23,227208.49,0,20151120095415,20151120095410
101,20151120095758,196104131,228015.82,228449.81,9,0,11539,0000000000000000,00000000,00000000,8079,1930003401,192021212,228015.82,228449.81,0,20151120095758,20151120095753
101,20151120100259,196104131,226767.33,228431.93,279,0,13468,0000000000000000,00000000,00000000,6150,192021208,1920005300,226767.33,228431.93,0,20151120100259,20151120100254
101,20151120101019,196104131,224218.37,229582.85,331,0,16359,0000000000000000,00000000,00000000,3259,1920001000,192021110,224218.37,229582.85,0,20151120101019,20151120101015
101,20151120101247,196104131,224129.62,230904.27,352,29,16994,0000000000000000,00000000,00000000,2624,192021106,192021104,224129.62,230904.27,0,20151120101247,20151120101242
101,20151120101739,196104131,224485.41,232505.72,284,0,19455,0000000000000000,00000000,00000000,163,192021334,196021336,224485.41,232505.72,1,20151120101739,20151120101734
101,20151120101952,196104131,224142.29,232099.49,204,51,19455,0000000000000000,00000000,00000000,163,196030504,196030504,224142.29,232099.49,0,20151120102024,20151120102020
101,20151120102123,196104132,224114.23,230999.87,181,0,19465,0000000000000000,00000000,00000000,163,192021103,192021105,224114.23,230999.87,0,20151120102124,20151120102118
101,20151120102253,196104132,224155.04,230247.28,178,40,19465,0000000000000000,00000000,00000000,163,192021103,192021105,224155.04,230247.28,0,20151120102254,20151120102248
101,20151120102627,196104132,224287.46,229513.58,139,24,3379,0000000000000000,00000000,00000000,16249,192021109,1920001000,224287.46,229513.58,0,20151120102628,20151120102623
101,20151120102948,196104132,225009.85,228791.03,209,0,4517,0000000000000000,00000000,00000000,15111,192021115,1920000300,225009.85,228791.03,0,20151120102948,20151120102943
101,20151120103833,196104132,227965.16,228206.78,189,34,7478,0000000000000000,00000000,00000000,12150,192021211,1930003401,227965.16,228206.78,0,20151120103833,20151120103827
101,20151120104111,196104132,228145.92,227583.12,169,0,8692,0000000000000000,00000000,00000000,10936,193031101,1930058100,228145.92,227583.12,0,20151120104111,20151120104105
101,20151120104417,196104132,228378.73,226849.35,121,0,9358,0000000000000000,00000000,00000000,10270,193031109,1930037700,228378.73,226849.35,0,20151120104417,20151120104412
101,20151120104719,196104132,228282.15,226298.83,263,12,9838,0000000000000000,00000000,00000000,9790,1930027300,1930024600,228282.15,226298.83,0,20151120104720,20151120104715
101,20151120110430,196104132,223296.77,226470.11,153,53,17280,0000000000000000,00000000,00000000,2348,193030717,196012701,223296.77,226470.11,0,20151120110431,20151120110426
101,20151120110633,196104132,222700.58,226250.02,254,0,18797,0000000000000000,00000000,00000000,831,196066901,1960008100,222700.58,226250.02,0,20151120110633,20151120110628
101,20151120110838,196104132,222334.68,225936.45,64,0,18797,0000000000000000,00000000,00000000,831,1960008100,196030503,222334.68,225936.45,1,20151120110838,20151120110833
101,20151120111007,196104132,222334.68,225936.45,64,0,18797,0000000000000000,00000000,00000000,831,1960008100,196030503,222334.68,225936.45,1,20151120111008,20151120111003
101,20151120111138,196104132,222334.68,225936.45,64,0,18797,0000000000000000,00000000,00000000,831,1960008100,196030503,222334.68,225936.45,1,20151120111139,20151120111133
101,20151120111307,196104132,222334.68,225936.45,64,0,18797,0000000000000000,00000000,00000000,831,1960008100,196030503,222334.68,225936.45,1,20151120111308,20151120111303
101,20151120111505,196104132,222334.68,225936.45,64,0,18797,0000000000000000,00000000,00000000,831,1960008100,196030503,222334.68,225936.45,1,20151120111505,20151120111459
101,20151120111634,196104132,222334.68,225936.45,64,0,18797,0000000000000000,00000000,00000000,831,1960008100,196030503,222334.68,225936.45,1,20151120111634,20151120111629
101,20151120111805,196104132,222334.68,225936.45,64,0,18797,0000000000000000,00000000,00000000,831,1960008100,196030503,222334.68,225936.45,1,20151120111805,20151120111759
101,20151120111935,196104132,222334.68,225936.45,64,0,18797,0000000000000000,00000000,00000000,831,1960008100,196030503,222334.68,225936.45,1,20151120111935,20151120111929
101,20151120112108,196104132,222334.68,225936.45,64,0,18797,0000000000000000,00000000,00000000,831,1960008100,196030503,222334.68,225936.45,1,20151120112108,20151120112103
101,20151120112238,196104132,222334.68,225936.45,64,0,18797,0000000000000000,00000000,00000000,831,1960008100,196030503,222334.68,225936.45,1,20151120112238,20151120112233
101,20151120112422,196104132,222334.68,225936.45,64,0,18797,0000000000000000,00000000,00000000,831,1960008100,196030503,222334.68,225936.45,1,20151120112422,20151120112416
101,20151120112551,196104132,222334.68,225936.45,64,0,18797,0000000000000000,00000000,00000000,831,1960008100,196030503,222334.68,225936.45,1,20151120112551,20151120112546
101,20151120112741,196104132,222334.68,225936.45,64,0,18797,0000000000000000,00000000,00000000,831,1960008100,196030503,222334.68,225936.45,1,20151120112811,20151120112807
101,20151120112912,196104132,222334.68,225936.45,64,0,18797,0000000000000000,00000000,00000000,831,1960008100,196030503,222334.68,225936.45,1,20151120112912,20151120112906
101,20151120113057,196104132,222334.68,225936.45,64,0,18797,0000000000000000,00000000,00000000,831,1960008100,196030503,222334.68,225936.45,1,20151120113110,20151120113104
101,20151120113226,196104132,222334.68,225936.45,64,0,18797,0000000000000000,00000000,00000000,831,1960008100,196030503,222334.68,225936.45,1,20151120113226,20151120113221
101,20151120113442,196104132,222334.68,225936.45,64,0,18797,0000000000000000,00000000,00000000,831,1960008100,196030503,222334.68,225936.45,1,20151120113516,20151120113510
101,20151120113611,196104132,222334.68,225936.45,64,0,18797,0000000000000000,00000000,00000000,831,1960008100,196030503,222334.68,225936.45,1,20151120113611,20151120113607
101,20151120113742,196104131,222334.68,225936.45,64,0,18787,0000000000000000,00000000,00000000,831,196030504,196030504,222334.68,225936.45,0,20151120113742,20151120113737
