STOP_ID,STOP_NAME,STOP_TYPE,STOP_CENTER,STOP_ADMIN,STOP_REMARK,STOP_SHORTNAME,STOP_OLDID,STOP_SERVICEID,STOP_X,STOP_Y,STOP_ANGLE,STOP_IN_DISTANCE,STOP_OUT_DISTANCE,LINK_ID,STOP_LINK_X,STOP_LINK_Y,STOP_LINK_SEQNO,STOP_LINK_LENGTH,STOP_REVISIONNO,DR_CODE,STOP_INFO,STOP_ENAME,STOP_LINE_NUM
193063308,대우푸르지오아파트,8,0,울산광역시,,대우푸르지오아파트,0,63308,231021.8537,227740.37,280,70,30,1930182400,231021.464,227735.8188,1,19.4,916,3114057000,0,Daewoo Purgio Apt.,12
193063309,화물공제조합,8,0,울산광역시,,화물공제조합,0,63309,231201.9502,227724.9177,280,70,30,1930180800,231201.2397,227719.6733,1,53.5,916,3114057000,0,Korea Trucking Association,6
193063501,한국케이블방송앞,8,0,울산광역시,시외고속버스터미널 방면,한국케이블방송앞,0,63501,228316.9282,227607.7295,80,70,30,1930175901,228313.2191,227621.7772,1,183.4,929,3114053000,0,Hankook Cable,12
193063502,한국케이블공사앞,8,0,울산광역시,,한국케이블공사앞,0,63502,228256.085,227622.5139,251,70,30,1930176001,228258.8026,227612.3451,2,200.3,940,3114053000,0,Hankook Cable,5
193063503,남부교회,8,0,울산광역시,,남부교회,0,63503,228466.0576,227663.6531,72,70,30,1930175902,228484.2104,227676.7625,1,34.2,929,3114053000,0,Nambu Church,6
193063504,남부교회,8,0,울산광역시,,남부교회,0,63504,228433.4976,227681.6515,252,70,30,1930176001,228437.0307,227670.0694,1,12.9,940,3114053000,0,Nambu Church,15
193063505,신정3동주민센터입구,8,0,울산광역시,,신정3동주민센터입구,0,63505,228637.265,227724.0762,80,70,30,1930175902,228637.0575,227725.3444,2,192.2,929,3114053000,0,Sinjeong 3dong Community Center Entrance,15
193063506,신정3동주민센터입구,8,0,울산광역시,,신정3동주민센터입구,0,63506,228616.6954,227732.4326,260,70,30,1930176002,228617.8793,227727.4909,1,198.2,929,3114053000,0,Sinjeong 3dong Community Center Entrance,10
193063507,강남고등학교,8,0,울산광역시,,강남고등학교,0,63507,228904.6747,227822.2889,240,70,30,1930216602,228905.787,227819.5177,3,266.2,916,3114055000,0,Gangnam H. S.,5
193063508,강남고등학교,8,0,울산광역시,,강남고등학교,0,63508,228906.7029,227810.3727,80,70,30,1930216502,228904.192,227816.1825,1,100,916,3114055000,0,Gangnam H. S.,13
193063509,남경노블랜드,8,0,울산광역시,,남경노블랜드,0,63509,229141.8624,227883.4904,80,70,30,1930216502,229140.8499,227890.4054,2,348,954,3114055000,0,namkyung nobleland,9
193063510,남경노블랜드,8,0,울산광역시,,남경노블랜드,0,63510,229133.6425,227896.5972,240,70,30,1930216602,229134.97,227892.5143,1,25.7,916,3114055000,0,Namkyung Nobland,8
193063511,세이브존,8,0,울산광역시,,세이브존,0,63511,229385.7937,227938.0799,290,70,30,1930190700,229383.7741,227935.9766,1,19.1,916,3114055000,0,Save zone,10
193063512,울산병원,8,0,울산광역시,,울산병원,,63512,229202.2856,227733.0754,162,70,30,1930221900,229207.9517,227736.2235,1,169.1,936,0,2,Ulsan Hospital,5
193063601,축협앞,8,0,울산광역시,시외고속버스터미널 방면,축협앞,0,63601,227954.7233,227156.0954,80,70,30,1930127300,227952.9556,227160.3533,1,239.4,916,3114051000,0,Korea Federation of Livestock Cooperatives (K.F.L.C),16
193063602,축협앞,8,0,울산광역시,,축협앞,0,63602,227954.9248,227173.5335,260,70,30,1930127400,227956.1098,227170.5461,2,295.7,916,3114051000,0,Korea Federation of Livestock Cooperatives (K.F.L.C),6
193063603,남부신협앞,8,0,울산광역시,시외고속버스터미널 방면,남부신협앞,0,63603,228204.5233,227238.1765,80,70,30,1930127300,228203.2875,227241.293,2,502.5,916,3114051000,0,National Credit Union Federation of Korea (Nambu),19
