MYBI_STOPID,MYBI_NAME,STOP_ID,STOP_X,STOP_Y,STOP_X2,STOP_Y2
3101425,서부패밀리아파트앞,194024216,,,,
3101426,남목2동,194024218,,,,
3101427,전하1동주민센터,194024222,,,,
3101428,전하시장앞,194024224,,,,
3101429,동부경찰서앞,194024228,,,,
3101430,번덕마을,194024232,,,,
3101431,일산해수욕장,194024234,,,,
3101432,대왕암공원입구,194024236,,,,
3101433,화진맨션.대광교회,194024238,,,,
3101434,서남구수협앞,194024240,,,,
3101435,문재사거리,194024242,,,,
3101436,문재사거리,194024241,,,,
3101437,서남구수협앞,194024239,,,,
3101438,화진맨션.대광교회,194024237,,,,
3101439,대왕암공원입구,194024235,,,,
3101440,일산해수욕장,194024233,,,,
3101441,번덕마을,194024231,,,,
3101442,동부경찰서앞,194024227,,,,
3101443,전하시장앞,194024223,,,,
3101444,전하1동주민센터,194024221,,,,
3101445,남목2동,194024217,,,,
3101446,서부패밀리아파트앞,194024215,,,,
3101447,현대자동차명촌정문앞,195040340,232718.27574,228914.56266,129.3608667,35.55666667
3101448,태화강역앞,193040344,232078.98587,227253.49992,129.35375,35.54171667
3101449,농수산물도매시장앞,193040421,231094.33279,227028.11521,129.3428833,35.53971667
3101450,시외고속버스터미널,193040419,,,,
3101451,현대백화점앞,193040417,,,,
3101452,목화예식장앞,193040415,,,,
3101453,신정고등학교앞,193040613,227498.00023,226250.75977,129.3032,35.53281667
3101454,서여자중학교앞,193040611,227236.34771,226301.7357,129.3003167,35.53328333
3101455,울주군청앞,193040607,226864.29237,226372.72877,129.2962167,35.53393333
3101456,법원앞,193040605,226192.76276,226511.27556,129.2888167,35.5352
3101457,공원묘지입구,193040601,225317.00052,226721.41057,129.2791667,35.53711667
3101458,성광여고앞,193022403,223973.47952,227216.98919,129.2643667,35.54161667
3101459,옥현주공아파트앞,193022401,223951.03557,227694.02154,129.2641333,35.54591667
3101460,신복로타리,193030704,223854.94988,228021.07237,129.2630833,35.54886667
3101461,울산대학교앞,193030708,223596.56949,227434.19047,129.2602167,35.54358333
3101462,울산과학대학앞,193030712,223345.27011,227011.91425,129.2574333,35.53978333
3101463,꽃바위아파트,194026503,,,,
3101464,화암,194025002,237374.19279,220198.98143,129.4118167,35.47795
3101465,비치타운앞,194025004,237646.79857,220477.50353,129.4148333,35.48045
3101466,우성현대아파트앞,194025006,237984.16204,220821.03049,129.4185667,35.48353333
3101467,제일교회앞,194026703,238226.98932,220981.09614,129.42125,35.48496667
3101468,송정타워앞,194026701,237816.23805,221545.21011,129.41675,35.49006667
3101469,화정주공아파트앞,194027123,237932.28257,221998.75688,129.41805,35.49415
3101470,울산과학대학앞,194027121,237802.08089,222748.98624,129.41665,35.50091667
3101471,금강아파트앞,194027119,237802.87759,222919.11676,129.4166667,35.50245
3101472,동구청앞,194027117,237862.23007,223185.65429,129.4173333,35.50485
3101473,한라타워앞,194027115,,,,
3101474,전하아이파크,194027113,,,,
3101475,남호그린아파트앞,194027111,,,,
3101476,한마음회관.울산대학병원앞,194027107,,,,
3101477,현대중.고등학교앞,194027105,,,,
3101478,동부도서관앞,194027103,,,,
3101479,녹수초등학교앞,194027101,,,,
3101480,현대중공업미포문앞,194024213,239194.20258,226336.91341,129.4321667,35.5332
3101481,현대청운고앞,194024211,239011.65487,226602.4035,129.4301667,35.5356
3101482,남목1동,194024209,238607.78411,227018.57556,129.4257333,35.53936667
3101483,성내,195024201,236372.93425,225387.43786,129.4010167,35.52475
3101484,염포동,195030631,236011.8052,225718.83522,129.39705,35.52775
3101485,신전,195030627,235310.37128,226489.01034,129.38935,35.53471667
3101486,현대자동차4공장앞,195030625,235101.66277,226904.26212,129.3870667,35.53846667
3101487,현대자동차정문,195030623,234929.24458,227317.81097,129.3851833,35.5422
3101488,아랫율동,195030617,234400.34819,228865.40511,129.3794167,35.55616667
3101489,현대출고사무소앞,195030615,234072.60742,229215.50017,129.3758167,35.55933333
3101490,효정고등학교입구,195030613,233844.12691,229295.99798,129.3733,35.56006667
3101491,동신공업사,195030611,233395.09905,229360.87977,129.36835,35.56066667
3101492,효문사거리,195030609,232959.65664,229431.38185,129.36355,35.56131667
3101493,농심메가마트앞,195030605,232153.04693,229352.62307,129.35465,35.56063333
